date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:25	37617/37617	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2008%20Aug%202025%2002:06:18%20GMT	https://functions.adnami.io/api/macro/adsm.macro.infobae.com.js	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/functions.adnami.io/api/macro/adsm.macro.infobae.com.js	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:26	471338/471338	---MCZ	200	added ('OK')	application/javascript	etag:W/%22339c2402158ad4554128fb4e810729aa%22	https://a564e303-c351-48a1-b5d1-38585e343734.edge.permutive.app/aa463839-b614-4c77-b5e9-6cdf10e1960c-web.js	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/a564e303-c351-48a1-b5d1-38585e343734.edge.permutive.app/aa463839-b614-4c77-b5e9-6cdf10e1960c-web.js	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:27	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2008%20Aug%202025%2002:06:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.googletagmanager.com/gtm.d5445.delayed	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:27	310798/310798	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2008%20Aug%202025%2002:06:19%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/connect.facebook.net/en_US/fbevents.js	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:28	1122/1122	---MCZ	200	added ('OK')	application/javascript	etag:W/%22305e1b62fb55a73dc9d682473523e1be%22	https://cdn.onesignal.com/sdks/web/v16/OneSignalSDK.page.js	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/cdn.onesignal.com/sdks/web/v16/OneSignalSDK.page.js	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:28	256/256	---M--	200	added ('OK')	image/gif	etag:W/%224b8d40496002cf88f0add470f2e7b07b%22	https://www.infobae.com/pf/resources/favicon/favicon-32x32.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/favicon-32x321c7a.gif	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:28	134/134	---M--	200	added ('OK')	image/gif	etag:W/%227e5a4e9f49c6458457a12b811c08dc30%22	https://www.infobae.com/pf/resources/favicon/favicon-16x16.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/favicon-16x161c7a.gif	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:28	1407/1407	---M--	200	added ('OK')	image/png	etag:W/%22692c1880a6317037ae35dd072a92711d%22	https://www.infobae.com/pf/resources/favicon/apple-touch-icon.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/apple-touch-icon1c7a.png	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:28	1407/1407	---M--	200	added ('OK')	image/png	etag:W/%22692c1880a6317037ae35dd072a92711d%22	https://www.infobae.com/pf/resources/favicon/apple-touch-icon-precomposed.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/apple-touch-icon-precomposed1c7a.png	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
10:06:29	1099/1099	---M--	200	added ('OK')	image/png	etag:W/%222f6d640f93cc3e9cd6dcbb43dc7908f4%22	https://www.infobae.com/pf/resources/favicon/apple-touch-icon-120x120.png?d=3426	C:/Users/Ing%20Felix/Desktop/mujer_argentina/mujer_detenida/www.infobae.com/pf/resources/favicon/apple-touch-icon-120x1201c7a.png	(from https://www.infobae.com/sociedad/policiales/2025/04/10/detuvieron-a-una-mujer-que-viajaba-en-remis-con-tres-kilos-de-cocaina-pegados-al-cuerpo/)
